index, label, vol, area, meas_start
-,-,cm^3,cm^2,sec
1,1,4076.1,317.8,60
2,2,4076.1,317.8,420
3,3,4076.1,317.8,780
4,4,4076.1,317.8,1140
5,5,4076.1,317.8,1500
6,1,4076.1,317.8,1860
7,2,4076.1,317.8,2220
8,3,4076.1,317.8,2580
9,4,4076.1,317.8,2940
10,5,4076.1,317.8,3300
